na_stop,lens_aperture_um,f_um,mse_4f_vs_raw_abs,mse_k_vs_raw_abs,mse_4f_vs_k_abs,mse_4f_vs_raw_norm,mse_k_vs_raw_norm,mse_4f_vs_k_norm,throughput_4f,throughput_k,throughput_raw,k_stop_pixels,spatial_stop_pixels
0.02,80.0,481.203007518797,0.0021982782054692507,0.0,0.0021982782054692507,2.322592951298219e-10,0.0,2.322592951298219e-10,2661.63671875,3172.729248046875,3172.729248046875,293,293
0.02,120.0,481.203007518797,0.0014791075373068452,0.0,0.0014791075373068452,8.889056157812547e-11,0.0,8.889056157812547e-11,3132.93896484375,3781.6962890625,3781.6962890625,293,293
0.02,180.0,481.203007518797,0.00237643881700933,0.0,0.00237643881700933,1.6811188552345868e-10,0.0,1.6811188552345868e-10,3540.31689453125,5006.9140625,5006.9140625,293,293
0.02,240.0,481.203007518797,0.003665344789624214,0.0,0.003665344789624214,3.2273728134413204e-10,0.0,3.2273728134413204e-10,3689.400390625,6387.1259765625,6387.1259765625,293,293
0.02,320.0,481.203007518797,0.004664046689867973,0.0,0.004664046689867973,4.74938532946112e-10,0.0,4.74938532946112e-10,3723.0732421875,7609.0751953125,7609.0751953125,293,293
0.02,500.0,481.203007518797,0.004814913496375084,0.0,0.004814913496375084,4.925058139093608e-10,0.0,4.925058139093608e-10,3723.82080078125,7741.5419921875,7741.5419921875,293,293
0.04,80.0,481.203007518797,0.005541195161640644,0.0,0.005541195161640644,6.244234018737416e-10,0.0,6.244234018737416e-10,2677.39453125,3235.077880859375,3235.077880859375,1177,1177
0.04,120.0,481.203007518797,0.005681272596120834,0.0,0.005681272596120834,4.180674972875664e-10,0.0,4.180674972875664e-10,3168.96435546875,3876.8486328125,3876.8486328125,1177,1177
0.04,180.0,481.203007518797,0.005477556958794594,0.0,0.005477556958794594,3.209829624317706e-10,0.0,3.209829624317706e-10,3583.4833984375,5086.62158203125,5086.62158203125,1177,1177
0.04,240.0,481.203007518797,0.006529967300593853,0.0,0.006529967300593853,4.330735769997318e-10,0.0,4.330735769997318e-10,3730.536865234375,6458.951171875,6458.951171875,1177,1177
0.04,320.0,481.203007518797,0.007711553014814854,0.0,0.007711553014814854,5.679410275405417e-10,0.0,5.679410275405417e-10,3764.556640625,7671.05712890625,7671.05712890625,1177,1177
0.04,500.0,481.203007518797,0.007841684855520725,0.0,0.007841684855520725,5.823519444447811e-10,0.0,5.823519444447811e-10,3765.1416015625,7794.46240234375,7794.46240234375,1177,1177
0.06,80.0,481.203007518797,0.005930765066295862,0.0,0.005930765066295862,6.666249774411881e-10,0.0,6.666249774411881e-10,2679.23876953125,3240.61865234375,3240.61865234375,2617,2617
0.06,120.0,481.203007518797,0.006036993581801653,0.0,0.006036993581801653,4.4471371030141427e-10,0.0,4.4471371030141427e-10,3178.45458984375,3902.8974609375,3902.8974609375,2617,2617
0.06,180.0,481.203007518797,0.006011541001498699,0.0,0.006011541001498699,3.482116261999124e-10,0.0,3.482116261999124e-10,3595.9375,5115.30810546875,5115.30810546875,2617,2617
0.06,240.0,481.203007518797,0.007205377798527479,0.0,0.007205377798527479,4.5847164953372044e-10,0.0,4.5847164953372044e-10,3743.59130859375,6487.4345703125,6487.4345703125,2617,2617
0.06,320.0,481.203007518797,0.008350295946002007,0.0,0.008350295946002007,5.87733861578954e-10,0.0,5.87733861578954e-10,3777.726806640625,7692.65087890625,7692.65087890625,2617,2617
0.06,500.0,481.203007518797,0.008463489823043346,0.0,0.008463489823043346,6.013397557680378e-10,0.0,6.013397557680378e-10,3778.339111328125,7813.0625,7813.0625,2617,2617
0.08,80.0,481.203007518797,0.006280338391661644,0.0,0.006280338391661644,7.005800384263239e-10,0.0,7.005800384263239e-10,2678.1591796875,3248.23876953125,3248.23876953125,4669,4669
0.08,120.0,481.203007518797,0.0062983836978673935,0.0,0.0062983836978673935,4.6380843610194233e-10,0.0,4.6380843610194233e-10,3184.72802734375,3916.89599609375,3916.89599609375,4669,4669
0.08,180.0,481.203007518797,0.006090268027037382,0.0,0.006090268027037382,3.5381381158217096e-10,0.0,3.5381381158217096e-10,3600.806396484375,5127.302734375,5127.302734375,4669,4669
0.08,240.0,481.203007518797,0.0073050218634307384,0.0,0.0073050218634307384,4.590909874480076e-10,0.0,4.590909874480076e-10,3750.32958984375,6501.09375,6501.09375,4669,4669
0.08,320.0,481.203007518797,0.008426452055573463,0.0,0.008426452055573463,5.877147657429305e-10,0.0,5.877147657429305e-10,3783.9384765625,7701.42578125,7701.42578125,4669,4669
0.08,500.0,481.203007518797,0.008540241047739983,0.0,0.008540241047739983,6.012008668676572e-10,0.0,6.012008668676572e-10,3784.53955078125,7820.92041015625,7820.92041015625,4669,4669
0.1,80.0,481.203007518797,0.00808918196707964,0.0,0.00808918196707964,8.550241625826516e-10,0.0,8.550241625826516e-10,2675.86767578125,3288.806396484375,3288.806396484375,7289,7289
0.1,120.0,481.203007518797,0.00816405937075615,0.0,0.00816405937075615,5.67712599153225e-10,0.0,5.67712599153225e-10,3196.09130859375,3984.362548828125,3984.362548828125,7289,7289
0.1,180.0,481.203007518797,0.008203528821468353,0.0,0.008203528821468353,4.234422812388061e-10,0.0,4.234422812388061e-10,3629.78857421875,5212.77783203125,5212.77783203125,7289,7289
0.1,240.0,481.203007518797,0.009176241233944893,0.0,0.009176241233944893,4.833217159827541e-10,0.0,4.833217159827541e-10,3791.28271484375,6591.783203125,6591.783203125,7289,7289
0.1,320.0,481.203007518797,0.010306743904948235,0.0,0.010306743904948235,5.959253090992433e-10,0.0,5.959253090992433e-10,3827.003173828125,7789.16748046875,7789.16748046875,7289,7289
0.1,500.0,481.203007518797,0.010422569699585438,0.0,0.010422569699585438,6.080971282074188e-10,0.0,6.080971282074188e-10,3827.60107421875,7907.79443359375,7907.79443359375,7289,7289
